1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
162200,16040,128120,167560,121760,182360,103040,181880,164560,172840,63800,192080,212080,181440,161880,163160,216960,218360,171960,231200,28720,243200,166480,13160
163680,16400,150960,182680,181160,199880,166840,165640,176240,191720,189320,188800,217080,171960,128760,185600,198560,174360,184400,165040,197520,301680,199280,13200
180040,15520,24040,238880,229960,148520,192880,73360,177560,198440,52880,211680,216560,143600,193040,186400,196440,226720,36520,211600,235280,257440,197880,14000
150920,18640,186440,200320,172000,32320,194600,221360,224240,203240,202920,192520,187320,187200,218000,196880,125760,186640,205320,243600,34000,253960,206400,15200
157800,19240,166280,180920,204840,221920,189320,197080,194320,183600,48360,195040,193320,210760,185120,182320,34600,55280,210240,180320,203920,249080,189360,13880
168800,19400,202240,191680,66360,29840,200320,183120,191440,202320,178000,162440,222320,187720,178160,166320,182000,165920,212400,297360,144640,183760,165520,11560
159960,19360,174120,227720,217800,196760,216320,208120,130080,163000,207240,196840,191960,172800,197760,176400,165200,185040,48960,188640,200600,29720,192360,13520
157480,19640,217520,88160,206360,212440,203760,183800,109520,166120,193120,162840,201040,35320,147880,177240,173680,181720,179440,96880,179600,217600,200760,12720
162440,18600,96120,224400,170480,215280,203520,195600,157720,206520,182520,194240,117000,144600,178480,183960,178160,195720,30400,209040,205440,30760,203160,13480
177680,20160,209440,193840,225520,244680,218360,213480,193040,49080,200320,200400,179880,176960,197080,156200,91680,269640,196560,189160,192520,230400,174120,12400
143200,15840,40800,232440,153560,203920,184520,195560,117600,190640,155680,201400,220560,207200,45840,144280,189640,194080,196240,181440,46640,184480,186400,13560
175160,17800,193800,202440,226040,176360,26120,189280,27240,77480,204520,180080,198360,203800,141160,127880,29200,173920,203240,45120,223360,200440,191200,12800
191480,19440,213360,232920,196880,191840,86800,41640,187240,187120,189040,170880,184720,229840,54160,168960,36440,224920,187720,213320,204800,202840,191040,11800
173040,19600,227200,213760,232080,208560,195520,163920,105360,35760,217080,31680,179480,173000,219920,218800,206240,31560,206320,29080,192000,110880,180960,13400
161560,16240,114480,68920,230560,198440,170600,199440,131640,184400,86560,142760,164520,182840,29840,119320,189840,192120,195120,192720,207400,190800,185640,11880
132000,14720,174240,184000,154480,24600,193000,178240,192360,150600,178720,168480,160000,25840,242560,165280,80560,65600,172280,22560,188200,139200,181560,10000
